state,percentPopNonEng
Alabama,5.2
Alaska,16.6
Arizona,27.0
Arkansas,7.5
California,43.8
Colorado,16.7
Connecticut,21.4
Delaware,13.6
Florida,27.6
Georgia,13.3
Hawaii,25.2
Idaho,10.4
Illinois,22.7
Indiana,8.2
Iowa,7.3
Kansas,11.4
Kentucky,4.8
Louisiana,8.7
Maine,6.6
Maryland,16.7
Massachusetts,22.0
Michigan,9.1
Minnesota,10.8
Mississippi,3.8
Missouri,6.4
Montana,4.7
Nebraska,10.3
Nevada,29.7
New Hampshire,7.8
New Jersey,30.4
New Mexico,36.5
New York,30.1
North Carolina,10.7
North Dakota,5.1
Ohio,6.7
Oklahoma,9.3
Oregon,14.9
Pennsylvania,10.3
Rhode Island,21.2
South Carolina,6.6
South Dakota,6.6
Tennessee,6.9
Texas,34.7
Utah,14.9
Vermont,4.9
Virginia,14.9
Washington,18.6
West Virginia,2.3
Wisconsin,8.7
Wyoming,6.4
